tweet,class,sentiment
obama needs get get tonight debate like biden last week agree,0,neutral
obama need debate bully biden gets,0,neutral
barrack obama gets endorsement honey boo boo mitt better,0,neutral
years brings obama national security responsible buck stop,0,neutral
work obama anymore,0,neutral
osama behind last obama behind bill wife last weeks erection,-1,negative
obama vote obama free stick,-1,negative
obama debate history washington post,-1,negative
knows media able claim obama win great comeback,-1,negative
obama president lose debate lost entire genius control,-1,negative
president build obama really like people thank god likes better,-1,negative
prayers today president obama much prayer much power,1,positive
obama pay women less men take blame failures,-1,negative
obama budget one voted,-1,negative
good morning self supporter anti gay obama shoot yet,0,neutral
great idea someone book obama,0,neutral
another performance obama tonight could come close,0,neutral
obama programs budget priority black families much black white red blue,-1,negative
obama fear presidential,-1,negative
president obama greatest ever american people,-1,negative
could obama ground game election reuters,0,neutral
taliban calling obama black devil people agree,-1,negative
thing obama got common idiots color vote buck,-1,negative
obama tonight debate feel fabulous look beautiful day pool,0,neutral
biggest war woman seen obama failure hillary back,-1,negative
funny obama gave opinion nicki minaj mariah carey feud hopefully opinion move,0,neutral
barack obama never seen pushing political positions chicago,-1,negative
hope barack obama elected november,1,positive
wonder president obama new foreign policy strategy blame hillary play swing states,-1,negative
african americans sticking obama line washington post via,-1,negative
tried kill like obama gave continues tho,0,neutral
obama people like bill former aide,-1,negative
president obama confident nicki mariah end feud,0,neutral
lower class important class common sense obama administration changing rules people,0,neutral
think one minute favors pres obama hard dems,0,neutral
maybe someone barack honey boo boo pump,0,neutral
taliban calling obama black devil people agree,-1,negative
saw obama sticker wanted key car,-1,negative
name obama brings,1,positive
lies obama never could math truth facts explains romney,-1,negative
good know crisis hands ppl killed terrorist attack libya obama busy,-1,negative
would one want vote obama taking american flag schools,-1,negative
wow obama weakness turning hispanic voters,-1,negative
barack obama plan move forward,0,neutral
well heck bush obama blaming somebody else hillary clinton,-1,negative
david obama chance second term true agenda keep seeing lack character,-1,negative
people afford obama office another years wake,-1,negative
real obama president never blamed anything,-1,negative
obama blames hillary libya kerry debate bush everything else conservative byte via,-1,negative
obama policies economy romney liar liar pants fire national security romney fair allowed talk,-1,negative
obama trying foreign oil nice move,0,neutral
saw obama,0,neutral
lol using woman butt jokes obama need aggressive,-1,negative
aggressive obama still make grade david limbaugh via,-1,negative
obama mouth except view tough questions come yeah,-1,negative
latest poll obama ahead state less two weeks ago,0,neutral
absolutely right nightmare obama elected,-1,negative
looks like right gop blocked obama efforts,0,neutral
sick ceo employees obama wins surprised lay,0,neutral
aggressive obama still make grade david limbaugh via,-1,negative
obama brings remind much money,-1,negative
breaking news honey boo boo endorses barack obama election folks home,0,neutral
obama get lot done imagine could get done people congress full,1,positive
like obama care obama another power,0,neutral
obama muslim brotherhood like yes irony hilarious,1,positive
ohio coal miners obama absolute lies brown via,-1,negative
women turn big mistake barack via,-1,negative
hillary may bank shot set obama gets asked tonight says take full responsibility,0,neutral
obama joke anybody votes respect damage done years really stupid,-1,negative
cant wait see stupid obama looks tonight,-1,negative
biggest reason obama supporters hanging fear honest admitting mistakes,-1,negative
obama right get please,0,neutral
unemployment times thanks obama,-1,negative
obama foreign policy gone security oil,-1,negative
obama needs defense tonight needs defend facts rhetoric truth possible,0,neutral
joke difference obama dog,-1,negative
president obama best choice americans,1,positive
obama lose gone alot amp home less ppl,0,neutral
barack obama one doors inside defense sounds like car,0,neutral
remember obama accomplishments run,-1,negative
democratic poll worst news week obama,0,neutral
obama lies report obama claims got back every dime bailout money day cbo loss,-1,negative
obama waiting take blame election,0,neutral
look back obama loses reelection close country came destroyed never democrats,-1,negative
look picture think obama issues baby head killing,-1,negative
somebody ask obama details plan america forward,0,neutral
military families obama obama military,-1,negative
since months unemployment rate higher obama president,-1,negative
day since obama president many people job last day bush presidency,-1,negative
candidate tax campaign barack obama,-1,negative
hahaha obama looks hilarious,0,neutral
bad people sometimes kill overseas president obama america,-1,negative
former obama aide stunning politics really like people,-1,negative
also criminal obama,-1,negative
people love say voting obama cause black well voting black lol,0,neutral
time obama strong debate performance,-1,negative
email obama lost respect president united states nothing,-1,negative
anyone else find funny obama anti start letter,0,neutral
obama win college students forget taxes get anymore vote obama,1,positive
obama thing left going nice guy yet must aggressive chance,-1,negative
obama needs prayers tonight debate serious pass folks believe prayer works,1,positive
wright americans vote obama biden spends time also wife never camp david,-1,negative
book show world obama fraud thanks follow,-1,negative
obama care security american people care muslim brotherhood power,-1,negative
obama said one rational ever,0,neutral
president obama executive power,-1,negative
bet obama like really cool uncle,0,neutral
cant wait see barack character tomorrow hope,-1,negative
haha interesting,0,neutral
obama first debate debates important,-1,negative
taliban racists taliban statement also says saying black devil obama,0,neutral
fabulous someone today whatever takes obama,0,neutral
poll think obama going make reference poor performance last debate tonite,0,neutral
obama shit ever seen,-1,negative
feeling obama still punch left,0,neutral
never knew gay right wing thinks obama communist crazy woman wow,0,neutral
hillary said running pres remember shame barack obama meet barack obama,0,neutral
numbers show obama raising military romney president obama raising,0,neutral
obama votersbelieve obama deficit,-1,negative
life correct obama communist white house using race card investigation past,-1,negative
another obama stimulus failure battery maker loan default loser,-1,negative
makes obama look weak hillary take responsibility,-1,negative
obama lied surprise despite obama claims rev wright early,-1,negative
obama president obama said would end war iraq,1,positive
going blame obama gas prices going also blame going,1,positive
obama bully moment mitt turned around back,0,neutral
obama acts way white considered first black president,-1,negative
obama,-1,negative
well look obama instead getting response time,1,positive
rude obama,-1,negative
obama fire got osama boom obamacare exactly boom romney worse bush boom,1,positive
almost feel sorry obama mitt points unemployment debt etc powerful point,-1,negative
obama done nothing last years debt,-1,negative
obama got bag,1,positive
obama nut,-1,negative
guys see obama hes trillion dollars debt guess guys paying,-1,negative
obama planned america reelected tell think romney cant,-1,negative
see obama president,-1,negative
listen obama say understand,1,positive
obama answer question asked,-1,negative
obama amazing speaker,1,positive
wonder ever obama legit birth,-1,negative
obama big ears lol,0,neutral
obama right point,1,positive
look obama lol,0,neutral
obama little ago,-1,negative
barack obama pretty tho admit,1,positive
obama needs shut stop interrupting,-1,negative
obama smile,1,positive
wow obama,-1,negative
president cool shit cause anybody else would ready mitt ass,-1,negative
obama running like president last years,-1,negative
obama chill person lol,1,positive
obama hot topic,1,positive
tired obama lying,-1,negative
obama huge ears never,0,neutral
obama two different fund day embassy wow leadership,-1,negative
obama making things,-1,negative
obama say wants seen done past years actions speak louder words,-1,negative
name obama,-1,negative
obama said turn economy around one term president made worse america want liar president,-1,negative
little less half finally old enough vote obama,-1,negative
obama needs shut hair,-1,negative
obama wants close good thing years come awesome new idea,-1,negative
obama says education key violence student,-1,negative
obama definitely previous debate experience may get good enough elected senate,-1,negative
obama said president explains lot,-1,negative
obama clearly better,1,positive
obama tax answer,-1,negative
obama says wants cut corporate tax rate president last years,-1,negative
obama candy lied ambassador died obama call benghazi act terror speech,-1,negative
hear joke barack obama,-1,negative
good job obama really brought issues plans fix really real economic issues,1,positive
could dislike man like obama,1,positive
pretty clear victory obama,1,positive
apparently obama powers,-1,negative
obama believes self reliance,-1,negative
security obama fails answer finally comes clean knew time,-1,negative
great job president obama,1,positive
obama president obama showed strength tonight lot facts president great job,1,positive
dont want vote obama reasons fine dont act like could economy four years,1,positive
obama kept saying thats true president really wanted say nigga thats bull shit,0,neutral
obama kill bin laden one brother happened president obama find,-1,negative
obama obama throwing double pump slam dunk point land,1,positive
obama lied fact check promised changes per,-1,negative
obama save best last percent,1,positive
game set match obama got fought back gave reason fight,1,positive
obama game tonight clear winner,1,positive
obama terrorist,-1,negative
obama saves last two minute romney respond,0,neutral
hear one person say obama killed osama lose mind real killed obama get facts straight,-1,negative
landslide victory obama saw one president americans stage tonight obama,1,positive
president obama weeks story terrorist strike benghazi,-1,negative
obama tonight,1,positive
obama whole thing especially last question,1,positive
obama cover love,-1,negative
time showing romney reagan carter,1,positive
obama needs learn speak question asked answer question repeat shit isnt needed,-1,negative
obama debate,1,positive
fact debate libya great obama,-1,negative
obama definitely illegal vote,-1,negative
obama says nothing,-1,negative
obama gave guns drug consulate staff benghazi,-1,negative
tonight barack showed every day president fight everyone fair shot american dream,1,positive
speaking skills reagan president obama could still defend record,-1,negative
weird obama came across,-1,negative
obama would keeps talking like last month,-1,negative
obama says done yet happened past years,-1,negative
take obama tonight nothing worse aggressive,-1,negative
big angry obama came think made look mean,-1,negative
maybe missed president obama another full debate without plan next four years,-1,negative
president obama obvious binders women think,0,neutral
little topic obama got caught chinese investments,-1,negative
government create jobs obama fault jobs,1,positive
beat lie lie lie american people hope stupid fact check care obama,-1,negative
voting obama would like running head wall,-1,negative
find people even comment much less get obama talking people like,-1,negative
really would like tweet opinion debate tonight think could fit ridiculous obama,-1,negative
obama running hell,-1,negative
obama killed tonight absolutely killed would vote,-1,negative
president obama debate completely remarkable seeing,1,positive
obama promised much last time anything everyone believes time,-1,negative
obama put border border gave drug guns shoot,-1,negative
obama need country already know voting,1,positive
let clear obama great friend brown people around world,-1,negative
economy raised last four years obama made something nothing,1,positive
stand listening obama done anything get debt heck would vote,-1,negative
obama got president,0,neutral
obama ice would probably like bad decisions,-1,negative
mom single mom obama make female,0,neutral
long,-1,negative
think obama problem,-1,negative
obama far better choice honestly believe great better obama,1,positive
obama pay attention ask name really,-1,negative
obama stop taking bin credit bush admin working years say shoot,-1,negative
yes obama done everything nothing,-1,negative
obama literally,-1,negative
obama,-1,negative
never thought say really hope obama gets reelected,1,positive
firm obama slogan need change current president,-1,negative
obama economy lose election,-1,negative
obama dropped benghazi attack fact,-1,negative
obama awesome tonight live president great job four years,1,positive
president obama proud fit run country family supporting percent,1,positive
president obama brought home,1,positive
obama really wants education,1,positive
obama one style substance facts character,1,positive
president president obama man done get country back track let give,1,positive
obama four years shit changed like said deserve another four,-1,negative
obama cant run record due fact failures,-1,negative
wow everyone really going obama good done last years,-1,negative
obama confident telling bunch faced lies,-1,negative
obama say anything god really bothered,-1,negative
loved president obama ended comment effective,1,positive
first obama hate tell nothing killing osama bin laden,-1,negative
obama takes way much credit killing osama bin laden pretty sure navy seals,-1,negative
even close complete first debate obama winning every level audience facts,1,positive
obama even anything last term actually america,-1,negative
omg guy obama funding programs,1,positive
obama communist eight years shows strong holds,0,neutral
obama presidential campaign ever interested see happens,0,neutral
ohio state obama according,1,positive
investigation finds obama worldwide taxpayer dollars via,-1,negative
like bitch ass nigga barrack obama,0,neutral
state dept obama empty chair intel briefings congress,-1,negative
thing obama works wall street poor think obama working hilarious obama poor,-1,negative
helping world better place america taliban obama administration american people,-1,negative
obama hope change people get elected,-1,negative
anyone question obama administration,1,positive
better years ago neither america obama biden democrats,-1,negative
new internet obama com comes,0,neutral
obama attacks blames worst president history carter nixon,-1,negative
think obama made really bad mistake throwing obama bus really,-1,negative
bruce springsteen join bill clinton obama event ohio obama biden,0,neutral
obama much china serious question,-1,negative
anyone msm obama clinton,-1,negative
man people ohio fans probably ones voting obama making ohio swing state,0,neutral
think economy tell obama gets elected,-1,negative
coal worker ohio votes obama last month obama miners,-1,negative
bruce springsteen campaign obama ohio,0,neutral
dear obama know ohio coal miners told obama quit lying,-1,negative
hahaha obama loses move europe niggas,-1,negative
speak anyone votes obama facts guy,-1,negative
obama taking days study next debate know anything president need mitt,-1,negative
poll israelis think obama favors israel,-1,negative
obama admin continues perfect blame game,0,neutral
obama come anything tigers,-1,negative
michelle obama exclusive barack economy collapse,1,positive
obama got lot people,1,positive
racist like obama obama votersbelieve,1,positive
first time history average americans less education less parents last pres obama,-1,negative
obama spent million libya another investment,-1,negative
politician obama friend israel via,-1,negative
ohio coal miners obama stop lying romney rally,-1,negative
new threats riot obama loses election farrakhan forces trying keep america white talk,1,positive
obama votersbelieve mitt tax records important voters obama tax failed leadership,-1,negative
hilary taking blame benghazi barry obama leading behind,1,positive
hillary takes blame benghazi night obama head,1,positive
joe biden delivers remarks obama administration efforts florida live,1,positive
breaking hillary clinton responsibility president obama bad first debate performance,0,neutral
republicans want forget trillion foreign policy failures try get forget obama economy,1,positive
romney closing gap among florida hispanic voters mitt romney closing gap president barack obama,-1,negative
voting barack obama pushed mitt romney front bus,1,positive
giuliani says obama foreign policy one weakness,-1,negative
lowered expectations obama second debate via,0,neutral
obama using taxpayer money buy votes,-1,negative
obama one weak community allows hillary clinton take full responsibility would fallen potus,-1,negative
people math president obama inherited deficit continue pay war,1,positive
poll voter expectations lower obama debate voters better,-1,negative
romney raised million september trails obama,1,positive
hilary claims obama biden blame benghazi know state dept,-1,negative
desperate obama pushing hard left losing every issue matters americans,-1,negative
made donation today support president obama,1,positive
obama considers october surprise libya attack votes,-1,negative
somebody obama administration needed put big boy pants take responsibility,0,neutral
hillary taking blame proves obama biggest empty suit ever elected president,-1,negative
mom face much obama wins,1,positive
obama coming back chicago vote early chicago,0,neutral
vote obama means death someone baby kind voting obama,-1,negative
lmfao even vote white obama lmfao,-1,negative
obama pass budget years even dems vote,-1,negative
know want live world country obama wants create expect kids,-1,negative
obama wants usa citizens gun control internet control use tax usa,-1,negative
would help brother powerful man yet leave brother barack obama,1,positive
apparently thing barack obama responsible four years president dog,-1,negative
obama gave rebels libya weapons kill american wasnt,-1,negative
bush economy obama gets blamed recession smh,1,positive
follow love obama,1,positive
vote barack obama twitter presidential election,1,positive
jay support president barack obama election,1,positive
fraud open letter bruce springsteen obama endorsement,-1,negative
clinton pushing back libya obama,-1,negative
obama pay hillary take responsibility something going,-1,negative
awesome obama narrated morgan freeman,0,neutral
obama supporters threatening riots loses guess race,-1,negative
polling shows obama big among early voters via,1,positive
republican party spoke event send obama back,-1,negative
women paid less obama white house via,-1,negative
obama team promises aggressive president second debate need toward,1,positive
obama voters voting skin color policies romney see,-1,negative
barack obama proud yet confident yet reality,-1,negative
obama real nigga gave wife shoutout cnn guys even put girlfriends bio,1,positive
haha never romney elected bigger trouble obama plan needs time,1,positive
want wars middle east obama get ready sign turn,-1,negative
good heard obama every month great spending,-1,negative
actually listen obama romney plans country pick sides follow friends,0,neutral
obama killed osama ended war iraq passed health care reform student loans support etc anything okay,1,positive
obama private sector fine lying pick,-1,negative
obama attacks middle class despite biden remarks,-1,negative
nothing bad happened last years obama fault,0,neutral
obama morgan freeman voice campaign vote,1,positive
barack obama got morgan freeman,0,neutral
obama looking throw hillary bus libya attack bill pissed,-1,negative
morgan narrated obama add well played sir,0,neutral
cbs msnbc biden libya security answer could mean big trouble obama via,-1,negative
obama supporters threaten kill romney president via,-1,negative
economy obama team better bet gop,1,positive
hear obama working attack romney tax returns,0,neutral
obama believes america mitt romney via,1,positive
mom vote obama democrat sitting one,-1,negative
really call war women obama women,-1,negative
obama grabs wide lead among already voted reuters ipsos poll,1,positive
obama president america forever,1,positive
romney supporters obama campaign going romney time come,1,positive
agreed think obama better time,1,positive
would auto bailout bush obama decided let bankrupt,-1,negative
obama campaign ideas,-1,negative
simply excuse happened benghazi really hurting obama big time,-1,negative
know obama half white right everyone think obama black muslim well okay,1,positive
well said poor obama imagine mess going wins,0,neutral
barack obama presidency helped cause black people via,-1,negative
obama president,1,positive
damn heard mitt romney win free porn shit lets vote obama,1,positive
obama voters voting skin color policies see,-1,negative
black people support obama black,-1,negative
good night going try please rally behind romney ryan lets get nightmare obama house need,-1,negative
mitt romney lol obama nation,1,positive
vote obama obama based god,1,positive
elect president obama,1,positive
obama weighs feud read watching benghazi man,-1,negative
obama must known happened libya pres involved scandal fire,-1,negative
smarter obama think ryan law,1,positive
anyone undecided election need good reason vote romney getting obama,-1,negative
post endorses obama president second term serious man,1,positive
unemployment still house obama,-1,negative
obama campaign ideas via,-1,negative
jay obama give second chance,1,positive
people rise suspicious polling obama vote mitt romney,-1,negative
obama name new york tweet washington,0,neutral
obama campaign says million donors yahoo news via,1,positive
bill clinton back campaign game president obama,0,neutral
obama america youtube vote life,1,positive
hate people buy obama campaign could hate man,1,positive
would vote obama shipped jobs china,-1,negative
biden medicare tax reform obama vote mitt romney paul,-1,negative
fuck obama,-1,negative
moron got money faced obama,-1,negative
obama really thinks americans believe hollywood,-1,negative
vote barack obama twitter presidential election,1,positive
united silence obama office shot presidential,0,neutral
romney big idiot obama deserves win amazing even live america,1,positive
romney war women obama economic policies,-1,negative
care say change fact tht obama made history first black president,0,neutral
obama campaign federal election laws big story break,-1,negative
say obama destroyed america please tell great country,1,positive
destructive president new book obama studies,-1,negative
side side obama energy mitt wants keep,1,positive
obama camp ideas talk,-1,negative
obama congress passed tax already social security two years,-1,negative
miners fight back obama absolute lies tell obama stop absolute lies watch plz,-1,negative
economy china obama administration,-1,negative
post poll finds obama loses support among israelis,-1,negative
rush american lives lost benghazi due obama muslim brotherhood fast furious,-1,negative
latino american families job security obama policies latino americans vote jobs vote,-1,negative
poll israelis think obama favors israel,-1,negative
obama information act,-1,negative
obama lied,-1,negative
obama every october poll obama losing big,-1,negative
obama liar man america needs honest men today america needs romney ryan,-1,negative
americans history says obama makes sense via inside,1,positive
think barack obama black want get stuff like,1,positive
romney obama,-1,negative
decided vote consider obama record abortion lies cover roe trillion unemployed,-1,negative
obama kill osama,1,positive
obama owns shares outsourcing china,-1,negative
romney fix obama put debt keep going yrs later better,-1,negative
obama get via,-1,negative
moral health president barack hussein obama god obama,1,positive
libya biden lie die via obama vote mitt romney paul ryan,-1,negative
parents say school turning kids obama thing,-1,negative
obama stop blaming problems others economy bush benghazi dept leader thinks bush,-1,negative
say put another four years obama put horrible years bush get real,1,positive
sounds dangerous much like obama administration one wants see,-1,negative
catholic church voting obama may cause hell via,-1,negative
romney gets elected people blame obama like blamed bush,0,neutral
obama lied taxes making less,-1,negative
voting obama kind like kid getting straight,-1,negative
wait tuesday debate obama left dust romney,-1,negative
vote obama,1,positive
everyone said voted obama vision shows,1,positive
dont know whats going isnt obama president change thought good leave,1,positive
policies results obama fail,-1,negative
obama family cost american tax billion times family,-1,negative
get ridiculous obama,-1,negative
filled ballot one vote president barack obama great state,1,positive
obama promises protect medicare gop cbs news obama liberal,0,neutral
obama second debate,1,positive
clueless obama would anything lying video get reelected point plan hope change failure,-1,negative
issue comes barrack obama,0,neutral
romney decided lil obama smh dude aint yet,1,positive
good obama,1,positive
tried president obama right church,-1,negative
obama camp next debate,0,neutral
swing states pretty solid obama,1,positive
difference obama romney nothing,0,neutral
months days hours minutes seconds obama leaves office,-1,negative
